Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
AMT_TOTAL_RECEIVABLE_TOTAL,28,27,32,14,24,1,16,26,21.0
AMT_TOTAL_RECEIVABLE_MAX,7,9,17,17,10,12,5,9,10.75
AMT_TOTAL_RECEIVABLE_AVG,8,5,14,4,3,11,6,8,7.375
OVERALL_AVG_ALL_DRAWING_AMT,80,80,177,65,33,57,72,110,84.25
OVERALL_AVG_ATM_DRAWING_AMT,48,117,120,117,42,97,78,149,96.0
OVERALL_PERCENT_AMT_ATM_DRAWINGS,37,51,52,42,39,45,60,116,55.25
OVERALL_PERCENT_AMT_POS_DRAWINGS,88,76,101,86,48,62,77,99,79.625
OVERALL_PERCENT_AMT_OTHER_DRAWINGS,8,21,36,21,15,27,24,51,25.375
NUM_LATE_CC_PAYMENTS_1_MONTHS,10,15,0,0,3,12,8,12,7.5
AVG_PAID_ON_CREDIT_1_MONTHS,32,60,96,46,68,75,23,74,59.25
AMT_BALANCE_STD_1_MONTHS,2,2,2,1,9,0,7,10,4.125
AVG_BALANCE_1_MONTHS,215,313,295,217,252,248,208,356,263.0
NUM_DRAWINGS_1_MONTHS,25,35,48,41,17,32,33,63,36.75
AMT_DRAWINGS_1_MONTHS,80,75,85,42,45,60,36,111,66.75
AVG_AMT_PER_DRAWING_1_MONTHS,101,103,124,72,45,62,91,142,92.5
NUM_LATE_CC_PAYMENTS_6_MONTHS,1,0,27,14,0,12,0,0,6.75
AVG_PAID_ON_CREDIT_6_MONTHS,70,63,68,36,23,37,37,73,50.875
AMT_BALANCE_STD_6_MONTHS,146,155,148,109,120,135,126,128,133.375
AVG_BALANCE_6_MONTHS,103,72,92,83,49,71,67,99,79.5
NUM_DRAWINGS_6_MONTHS,68,56,119,69,48,84,65,118,78.375
AMT_DRAWINGS_6_MONTHS,67,117,142,135,82,71,128,114,107.0
AVG_AMT_PER_DRAWING_6_MONTHS,60,77,175,86,51,92,72,118,91.375
NUM_LATE_CC_PAYMENTS_12_MONTHS,0,0,4,0,0,5,0,8,2.125
AVG_PAID_ON_CREDIT_12_MONTHS,27,27,51,38,37,27,19,74,37.5
AMT_BALANCE_STD_12_MONTHS,111,88,98,77,60,69,85,72,82.5
AVG_BALANCE_12_MONTHS,31,43,56,66,38,43,28,47,44.0
NUM_DRAWINGS_12_MONTHS,22,23,33,28,13,25,6,39,23.625
AMT_DRAWINGS_12_MONTHS,47,66,82,43,49,63,32,111,61.625
AVG_AMT_PER_DRAWING_12_MONTHS,75,124,84,79,55,73,70,107,83.375
NUM_LATE_CC_PAYMENTS_24_MONTHS,1,9,5,9,1,4,4,14,5.875
AVG_PAID_ON_CREDIT_24_MONTHS,80,86,56,70,49,70,20,99,66.25
AMT_BALANCE_STD_24_MONTHS,23,34,99,38,37,46,53,62,49.0
AVG_BALANCE_24_MONTHS,32,28,36,31,16,46,30,42,32.625
NUM_DRAWINGS_24_MONTHS,12,24,22,14,14,25,15,18,18.0
AMT_DRAWINGS_24_MONTHS,25,28,43,17,21,18,28,38,27.25
AVG_AMT_PER_DRAWING_24_MONTHS,65,73,88,55,29,45,35,62,56.5
CC_LR_PREDS,751,767,859,753,695,731,795,878,778.625
MIN_PAYMENT,233,254,295,178,139,184,111,330,215.5
AVG_PAYMENT,127,171,224,139,137,181,168,238,173.125
MAX_PAYMENT,178,192,184,196,159,146,130,341,190.75
LOG_AVG_PAYMENT,160,168,241,149,126,134,150,309,179.625
MIN_INSTALLMENT,216,236,335,201,137,164,155,304,218.5
AVG_INSTALLMENT,146,250,189,137,111,100,140,238,163.875
MAX_INSTALLMENT,237,287,280,283,238,209,273,347,269.25
LOG_AVG_INSTALLMENT,195,228,262,187,133,138,150,252,193.125
BEST_PAYMENT_DATE,390,404,557,314,282,299,228,552,378.25
AVG_DAYS_OFF_PAYMENT,293,383,473,233,231,278,213,479,322.875
WORST_PAYMENT_DATE,407,518,593,401,304,317,360,583,435.375
MIN_INSTALL_FRAC_PAID,134,202,334,138,122,89,119,326,183.0
AVG_INSTALL_FRAC_PAID,148,173,171,104,99,64,81,187,128.375
MAX_INSTALL_FRAC_PAID,59,77,72,36,24,35,33,68,50.5
NUM_INSTALLMENT_ENTRIES,203,254,338,218,151,177,105,281,215.875
NUM_PAYMENTS_EXACT_AMT,294,237,305,251,182,213,248,361,261.375
NUM_PAYMENTS_OVER,34,46,10,51,21,57,53,19,36.375
NUM_PAYMENTS_UNDER,63,54,86,48,55,46,62,92,63.25
FRAC_PAYMENTS_EXACT_AMT,104,111,156,114,60,69,67,206,110.875
FRAC_PAYMENTS_OVER,34,96,65,30,20,38,33,71,48.375
FRAC_PAYMENTS_UNDER,55,115,113,37,47,52,85,161,83.125
NUM_PAYMENTS_EARLY,253,279,372,297,268,271,227,317,285.5
NUM_PAYMENTS_LATE,101,159,151,70,101,47,83,139,106.375
NUM_PAYMENTS_ON_TIME,104,108,178,103,96,71,85,127,109.0
FRAC_PAYMENTS_EARLY,176,148,262,119,112,115,93,260,160.625
FRAC_PAYMENTS_LATE,223,197,243,174,133,164,207,328,208.625
FRAC_PAYMENTS_ON_TIME,101,132,144,131,91,87,97,191,121.75
MIN_PAYMENT_30_DAYS,204,193,228,123,101,115,164,260,173.5
AVG_PAYMENT_30_DAYS,140,137,163,127,79,109,104,224,135.375
MAX_PAYMENT_30_DAYS,222,256,359,233,199,191,222,355,254.625
LOG_AVG_PAYMENT_30_DAYS,151,164,188,104,80,90,75,157,126.125
NUM_INSTAL_PAY_30_DAYS,6,17,32,18,10,26,14,19,17.75
NUM_PAYMENTS_30_DAYS_EXACT_AMT,8,13,23,7,15,5,19,34,15.5
NUM_PAYMENTS_30_DAYS_OVER,0,0,0,0,0,0,0,0,0.0
NUM_PAYMENTS_30_DAYS_UNDER,1,8,1,12,6,3,1,6,4.75
FRAC_PAYMENTS_30_DAYS_EXACT_AMT,31,7,23,10,11,7,26,15,16.25
FRAC_PAYMENTS_30_DAYS_OVER,1,0,1,0,1,0,1,12,2.0
FRAC_PAYMENTS_30_DAYS_UNDER,51,32,76,35,69,63,63,60,56.125
NUM_PAYMENTS_30_DAYS_EARLY,27,13,16,4,1,4,5,15,10.625
NUM_PAYMENTS_30_DAYS_LATE,6,16,16,13,9,8,2,28,12.25
NUM_PAYMENTS_30_DAYS_ON_TIME,5,14,35,16,10,13,18,23,16.75
FRAC_PAYMENTS_30_DAYS_EARLY,37,62,49,46,36,34,52,80,49.5
FRAC_PAYMENTS_30_DAYS_LATE,32,81,100,62,80,46,33,92,65.75
FRAC_PAYMENTS_30_DAYS_ON_TIME,50,54,111,33,53,43,26,56,53.25
MIN_PAYMENT_120_DAYS,202,222,282,199,174,138,162,258,204.625
AVG_PAYMENT_120_DAYS,113,209,182,164,127,172,121,171,157.375
MAX_PAYMENT_120_DAYS,243,240,387,186,154,210,189,310,239.875
LOG_AVG_PAYMENT_120_DAYS,223,292,263,207,204,193,172,307,232.625
NUM_INSTAL_PAY_120_DAYS,25,75,97,39,17,19,39,65,47.0
NUM_PAYMENTS_120_DAYS_EXACT_AMT,25,67,51,15,27,32,29,50,37.0
NUM_PAYMENTS_120_DAYS_OVER,1,4,0,0,0,4,0,10,2.375
NUM_PAYMENTS_120_DAYS_UNDER,15,19,62,24,11,17,15,20,22.875
FRAC_PAYMENTS_120_DAYS_EXACT_AMT,3,44,23,19,14,14,18,35,21.25
FRAC_PAYMENTS_120_DAYS_OVER,32,14,9,5,7,28,19,36,18.75
FRAC_PAYMENTS_120_DAYS_UNDER,41,29,53,47,29,27,17,54,37.125
NUM_PAYMENTS_120_DAYS_EARLY,59,48,84,42,42,44,27,96,55.25
NUM_PAYMENTS_120_DAYS_LATE,54,60,40,38,28,69,56,48,49.125
NUM_PAYMENTS_120_DAYS_ON_TIME,36,25,39,36,14,12,23,32,27.125
FRAC_PAYMENTS_120_DAYS_EARLY,78,91,132,62,68,55,89,92,83.375
FRAC_PAYMENTS_120_DAYS_LATE,236,182,169,162,171,159,141,188,176.0
FRAC_PAYMENTS_120_DAYS_ON_TIME,40,38,44,24,24,36,19,59,35.5
MIN_PAYMENT_365_DAYS,227,270,391,195,138,150,112,382,233.125
AVG_PAYMENT_365_DAYS,221,163,253,119,116,113,96,275,169.5
MAX_PAYMENT_365_DAYS,379,379,531,413,354,345,309,491,400.125
LOG_AVG_PAYMENT_365_DAYS,181,167,306,132,63,127,106,236,164.75
NUM_INSTAL_PAY_365_DAYS,80,126,165,89,85,66,110,151,109.0
NUM_PAYMENTS_365_DAYS_EXACT_AMT,97,131,181,99,64,91,69,227,119.875
NUM_PAYMENTS_365_DAYS_OVER,43,46,78,52,64,45,54,56,54.75
NUM_PAYMENTS_365_DAYS_UNDER,23,22,50,19,16,5,12,23,21.25
FRAC_PAYMENTS_365_DAYS_EXACT_AMT,39,57,77,65,35,51,33,71,53.5
FRAC_PAYMENTS_365_DAYS_OVER,33,44,103,65,45,16,81,82,58.625
FRAC_PAYMENTS_365_DAYS_UNDER,107,151,130,86,75,81,107,189,115.75
NUM_PAYMENTS_365_DAYS_EARLY,140,161,201,122,162,99,161,184,153.75
NUM_PAYMENTS_365_DAYS_LATE,21,54,38,29,42,17,19,39,32.375
NUM_PAYMENTS_365_DAYS_ON_TIME,43,104,86,44,41,58,51,77,63.0
FRAC_PAYMENTS_365_DAYS_EARLY,115,112,175,92,97,85,101,129,113.25
FRAC_PAYMENTS_365_DAYS_LATE,332,233,330,207,272,279,217,321,273.875
FRAC_PAYMENTS_365_DAYS_ON_TIME,78,68,137,56,50,106,50,136,85.125
MIN_PAYMENT_730_DAYS,257,257,353,181,199,209,200,367,252.875
AVG_PAYMENT_730_DAYS,171,212,270,194,154,149,113,289,194.0
MAX_PAYMENT_730_DAYS,289,329,434,237,226,177,265,421,297.25
LOG_AVG_PAYMENT_730_DAYS,210,279,287,207,149,169,148,298,218.375
NUM_INSTAL_PAY_730_DAYS,109,134,193,133,64,82,139,207,132.625
NUM_PAYMENTS_730_DAYS_EXACT_AMT,174,124,132,125,103,84,116,201,132.375
NUM_PAYMENTS_730_DAYS_OVER,18,3,20,7,4,2,9,5,8.5
NUM_PAYMENTS_730_DAYS_UNDER,36,99,101,29,62,29,46,87,61.125
FRAC_PAYMENTS_730_DAYS_EXACT_AMT,55,94,151,84,68,72,90,143,94.625
FRAC_PAYMENTS_730_DAYS_OVER,103,160,128,103,65,54,17,157,98.375
FRAC_PAYMENTS_730_DAYS_UNDER,160,185,223,185,147,165,152,313,191.25
NUM_PAYMENTS_730_DAYS_EARLY,227,261,271,169,186,194,218,420,243.25
NUM_PAYMENTS_730_DAYS_LATE,45,63,50,21,29,37,48,50,42.875
NUM_PAYMENTS_730_DAYS_ON_TIME,54,55,65,51,63,49,45,93,59.375
FRAC_PAYMENTS_730_DAYS_EARLY,192,182,265,222,131,129,69,225,176.875
FRAC_PAYMENTS_730_DAYS_LATE,362,427,408,363,317,339,385,396,374.625
FRAC_PAYMENTS_730_DAYS_ON_TIME,104,72,117,72,57,84,59,124,86.125
INST_PAY_LR_PREDS,772,785,1024,851,674,764,770,937,822.125
NUM_LATE_POS_PAYMENTS,26,22,53,6,10,29,21,42,26.125
MAX_POS_DPD,82,69,84,61,84,91,102,96,83.625
AVG_POS_DPD,173,177,167,121,129,127,84,171,143.625
NUM_POS_ENTRIES,297,218,329,244,229,180,195,348,255.0
NUM_CONTRACTS_COMPLETED,152,130,143,93,90,70,75,123,109.5
NUM_INSTALMENTS_PENDING,515,558,614,520,498,551,502,607,545.625
NUM_ACCOUNTS_ACTIVE,32,35,16,35,32,11,37,40,29.75
NUM_LATE_POS_PAYMENTS_3_MONTHS_DEF,52,30,75,55,43,27,37,38,44.625
NUM_LATE_POS_PAYMENTS_3_MONTHS,24,28,28,9,11,21,4,19,18.0
NUM_CONTRACTS_COMPLETED_3_MONTHS,4,16,10,7,6,5,4,19,8.875
NUM_LATE_POS_PAYMENTS_6_MONTHS_DEF,9,20,30,20,24,27,14,16,20.0
NUM_LATE_POS_PAYMENTS_6_MONTHS,34,34,24,21,24,17,30,16,25.0
NUM_CONTRACTS_COMPLETED_6_MONTHS,2,7,35,15,6,23,14,8,13.75
NUM_LATE_POS_PAYMENTS_12_MONTHS_DEF,7,17,6,5,7,7,11,8,8.5
NUM_LATE_POS_PAYMENTS_12_MONTHS,17,49,20,17,5,24,18,28,22.25
NUM_CONTRACTS_COMPLETED_12_MONTHS,11,23,15,15,7,21,22,36,18.75
NUM_LATE_POS_PAYMENTS_24_MONTHS_DEF,30,30,30,15,16,10,12,44,23.375
NUM_LATE_POS_PAYMENTS_24_MONTHS,53,34,33,37,25,33,20,23,32.25
NUM_CONTRACTS_COMPLETED_24_MONTHS,13,33,34,37,19,12,26,57,28.875
POS_CASH_LR_PREDS,753,840,968,717,684,601,663,949,771.875
