Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
FLAG_DOCUMENT_18,0,5,19,0,0,4,8,6,5.25
FLAG_DOCUMENT_19,0,0,0,0,0,0,0,0,0.0
FLAG_DOCUMENT_20,0,0,0,0,0,0,0,0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,27,21,7,25,4,5,2,21,14.0
AMT_REQ_CREDIT_BUREAU_WEEK,10,16,15,18,3,10,31,26,16.125
AMT_REQ_CREDIT_BUREAU_MON,40,38,48,47,14,45,50,84,45.75
AMT_REQ_CREDIT_BUREAU_QRT,103,93,166,90,76,101,95,166,111.25
AMT_REQ_CREDIT_BUREAU_YEAR,55,110,153,61,37,58,79,122,84.375
NUM_DOCUMENTS_PROVIDED,72,87,116,78,47,62,61,125,81.0
CREDIT_INCOME_RATIO,397,340,516,354,257,293,240,554,368.875
INCOME_PER_HEAD,204,291,467,203,180,243,168,405,270.125
ANNUITY_INCOME_RATIO,561,642,803,505,441,470,511,830,595.375
ANNUITY_CREDIT_RATIO,1451,1705,1820,1376,1289,1335,1290,1925,1523.875
GOODS_INCOME_RATIO,314,300,428,284,204,224,278,447,309.875
GOODS_CREDIT_RATIO,791,776,894,737,774,679,645,833,766.125
FRAC_DAYS_EMPLOYED,683,804,921,609,606,631,666,1091,751.375
FRAC_CHILDREN,21,26,12,9,9,15,34,48,21.75
EXT_SOURCE_SUM,346,419,608,328,216,277,235,559,373.5
EXT_SOURCE_MEAN,744,801,960,738,673,710,667,925,777.25
EXT_SOURCE_MIN,603,703,798,635,511,538,469,921,647.25
EXT_SOURCE_MAX,269,360,409,325,176,202,222,480,305.375
NAME_CONTRACT_TYPE,27,38,33,26,23,24,20,45,29.5
CODE_GENDER,234,241,247,218,193,183,214,252,222.75
FLAG_OWN_CAR,1,0,4,1,3,4,2,3,2.25
