Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
FLAG_DOCUMENT_19,0,0,0,0,0,0,0,0,0.0
FLAG_DOCUMENT_20,0,0,0,0,0,0,0,0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,28,12,40,32,22,50,10,5,24.875
AMT_REQ_CREDIT_BUREAU_WEEK,21,0,41,21,30,7,21,38,22.375
AMT_REQ_CREDIT_BUREAU_MON,75,26,53,17,85,104,50,52,57.75
AMT_REQ_CREDIT_BUREAU_QRT,138,138,95,75,118,121,165,126,122.0
AMT_REQ_CREDIT_BUREAU_YEAR,33,56,84,49,68,87,61,70,63.5
NUM_DOCUMENTS_PROVIDED,74,79,124,68,60,116,96,122,92.375
CREDIT_INCOME_RATIO,351,301,336,268,334,278,368,367,325.375
INCOME_PER_HEAD,340,188,304,256,199,196,270,222,246.875
ANNUITY_INCOME_RATIO,571,497,557,394,462,501,563,602,518.375
ANNUITY_CREDIT_RATIO,1527,1312,1500,1193,1376,1509,1527,1558,1437.75
GOODS_INCOME_RATIO,248,309,434,201,282,332,304,334,305.5
GOODS_CREDIT_RATIO,577,529,607,515,493,553,590,516,547.5
FRAC_DAYS_EMPLOYED,651,551,563,468,544,717,591,625,588.75
FRAC_CHILDREN,19,2,25,12,9,27,13,33,17.5
EXT_SOURCE_SUM,345,284,383,218,364,377,436,357,345.5
EXT_SOURCE_MEAN,678,583,643,606,632,611,602,683,629.75
EXT_SOURCE_MIN,540,510,666,501,525,630,638,631,580.125
EXT_SOURCE_MAX,282,215,281,212,217,214,279,322,252.75
NAME_CONTRACT_TYPE,43,26,46,9,36,63,31,26,35.0
CODE_GENDER,245,258,233,204,222,229,227,245,232.875
FLAG_OWN_CAR,0,0,0,3,0,0,0,0,0.375
FLAG_OWN_REALTY,10,0,17,1,11,0,0,10,6.125
CNT_CHILDREN_0,2,1,8,0,0,2,0,0,1.625
CNT_CHILDREN_1,0,6,1,2,0,16,5,12,5.25
CNT_CHILDREN_2+,3,0,0,0,0,2,0,4,1.125
NAME_TYPE_SUITE,15,6,11,7,0,7,13,0,7.375
NAME_INCOME_TYPE_Commercial associate,36,13,6,1,3,2,6,6,9.125
NAME_INCOME_TYPE_Maternity leave,0,0,0,0,0,0,0,0,0.0
NAME_INCOME_TYPE_State servant,11,2,20,41,25,15,40,15,21.125
NAME_INCOME_TYPE_Working,30,33,15,10,31,46,26,33,28.0
NAME_EDUCATION_TYPE_Academic degree,0,0,0,0,0,3,0,4,0.875
NAME_EDUCATION_TYPE_Higher education,74,55,58,44,52,57,53,61,56.75
NAME_EDUCATION_TYPE_Incomplete higher,0,0,4,0,0,14,0,0,2.25
NAME_EDUCATION_TYPE_Lower secondary,6,3,0,1,0,2,0,0,1.5
NAME_EDUCATION_TYPE_Secondary / secondary special,45,41,43,52,55,46,45,76,50.375
NAME_FAMILY_STATUS_Civil marriage,0,12,20,5,14,15,11,19,12.0
NAME_FAMILY_STATUS_Married,148,119,117,101,121,140,128,116,123.75
NAME_FAMILY_STATUS_Separated,2,0,1,2,5,0,7,2,2.375
NAME_FAMILY_STATUS_Single / not married,19,60,43,37,31,35,21,57,37.875
NAME_FAMILY_STATUS_Unknown,0,0,0,0,0,0,0,0,0.0
NAME_FAMILY_STATUS_Widow,1,1,6,0,0,0,5,3,2.0
NAME_HOUSING_TYPE_Co-op apartment,0,0,0,0,0,1,0,0,0.125
NAME_HOUSING_TYPE_House / apartment,2,8,4,8,0,0,0,0,2.75
NAME_HOUSING_TYPE_Municipal apartment,14,3,15,5,0,0,1,18,7.0
NAME_HOUSING_TYPE_Office apartment,0,2,15,0,19,5,3,5,6.125
NAME_HOUSING_TYPE_Rented apartment,0,0,0,0,0,0,0,0,0.0
NAME_HOUSING_TYPE_With parents,0,0,0,7,0,0,0,0,0.875
OCCUPATION_TYPE_Accountants,2,1,0,1,0,1,2,9,2.0
OCCUPATION_TYPE_Cleaning staff,0,3,1,0,3,0,2,4,1.625
OCCUPATION_TYPE_Core staff,36,49,47,24,28,31,52,48,39.375
OCCUPATION_TYPE_Drivers,17,6,26,6,33,33,19,20,20.0
OCCUPATION_TYPE_High skill tech staff,35,1,14,0,0,1,0,0,6.375
OCCUPATION_TYPE_IT staff,1,0,0,4,0,9,0,0,1.75
OCCUPATION_TYPE_Laborers,15,4,9,16,15,16,13,18,13.25
OCCUPATION_TYPE_Low-skill Laborers,0,3,0,0,0,3,0,0,0.75
OCCUPATION_TYPE_Managers,27,1,7,0,5,13,7,3,7.875
OCCUPATION_TYPE_Medicine staff,0,12,5,0,0,4,0,15,4.5
OCCUPATION_TYPE_Sales staff,15,6,13,18,23,19,10,17,15.125
OCCUPATION_TYPE_Secretaries,0,0,0,0,8,6,3,21,4.75
OCCUPATION_TYPE_Security staff,3,0,6,1,0,11,2,0,2.875
OCCUPATION_TYPE_Waiters/barmen staff,3,0,0,1,1,8,0,0,1.625
WEEKDAY_APPR_PROCESS_START_FRIDAY,16,1,5,0,2,0,4,0,3.5
WEEKDAY_APPR_PROCESS_START_MONDAY,2,0,44,5,16,8,1,8,10.5
WEEKDAY_APPR_PROCESS_START_SATURDAY,13,2,5,8,1,13,4,4,6.25
WEEKDAY_APPR_PROCESS_START_SUNDAY,0,0,3,0,0,0,3,0,0.75
WEEKDAY_APPR_PROCESS_START_THURSDAY,3,0,0,0,9,2,0,1,1.875
WEEKDAY_APPR_PROCESS_START_TUESDAY,24,39,31,11,12,16,25,21,22.375
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,1,49,13,6,27,8,27,10,17.625
