Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
AMT_TOTAL_RECEIVABLE_TOTAL,4,14,8,7,8,13,9,15,9.75
AMT_TOTAL_RECEIVABLE_MAX,10,8,5,2,5,22,8,11,8.875
AMT_TOTAL_RECEIVABLE_AVG,11,9,10,3,10,5,5,8,7.625
OVERALL_AVG_ALL_DRAWING_AMT,106,44,71,86,64,92,87,120,83.75
OVERALL_AVG_ATM_DRAWING_AMT,100,108,107,60,113,115,171,156,116.25
OVERALL_PERCENT_AMT_ATM_DRAWINGS,64,28,51,24,22,34,56,37,39.5
OVERALL_PERCENT_AMT_POS_DRAWINGS,94,72,104,103,88,123,93,81,94.75
OVERALL_PERCENT_AMT_OTHER_DRAWINGS,23,30,28,15,34,56,29,32,30.875
NUM_LATE_CC_PAYMENTS_1_MONTHS,14,5,9,18,7,12,12,7,10.5
AVG_PAID_ON_CREDIT_1_MONTHS,55,54,101,43,51,63,77,40,60.5
AMT_BALANCE_STD_1_MONTHS,35,19,17,6,9,0,37,11,16.75
AVG_BALANCE_1_MONTHS,256,272,271,228,271,278,235,219,253.75
NUM_DRAWINGS_1_MONTHS,30,23,44,19,26,32,36,44,31.75
AMT_DRAWINGS_1_MONTHS,77,37,55,65,88,65,69,52,63.5
AVG_AMT_PER_DRAWING_1_MONTHS,88,99,108,22,88,92,111,100,88.5
NUM_LATE_CC_PAYMENTS_6_MONTHS,7,0,11,6,18,2,16,26,10.75
AVG_PAID_ON_CREDIT_6_MONTHS,51,33,86,31,28,38,60,74,50.125
AMT_BALANCE_STD_6_MONTHS,132,125,152,117,114,182,104,132,132.25
AVG_BALANCE_6_MONTHS,74,59,94,51,87,60,76,106,75.875
NUM_DRAWINGS_6_MONTHS,127,78,158,66,76,68,98,78,93.625
AMT_DRAWINGS_6_MONTHS,97,66,108,91,84,99,96,96,92.125
AVG_AMT_PER_DRAWING_6_MONTHS,65,93,130,76,34,69,103,103,84.125
NUM_LATE_CC_PAYMENTS_12_MONTHS,12,7,19,1,15,4,0,11,8.625
AVG_PAID_ON_CREDIT_12_MONTHS,22,18,11,30,37,24,31,45,27.25
AMT_BALANCE_STD_12_MONTHS,99,109,67,79,82,59,51,76,77.75
AVG_BALANCE_12_MONTHS,28,31,27,47,14,41,53,29,33.75
NUM_DRAWINGS_12_MONTHS,22,23,18,17,10,20,22,10,17.75
AMT_DRAWINGS_12_MONTHS,28,53,51,38,38,52,77,52,48.625
AVG_AMT_PER_DRAWING_12_MONTHS,68,66,86,61,95,53,87,113,78.625
NUM_LATE_CC_PAYMENTS_24_MONTHS,10,9,12,11,15,3,6,8,9.25
AVG_PAID_ON_CREDIT_24_MONTHS,64,50,111,78,84,45,64,61,69.625
AMT_BALANCE_STD_24_MONTHS,19,44,53,23,31,41,42,39,36.5
AVG_BALANCE_24_MONTHS,41,18,56,20,9,22,51,22,29.875
NUM_DRAWINGS_24_MONTHS,34,19,50,7,20,21,13,13,22.125
AMT_DRAWINGS_24_MONTHS,22,27,24,15,23,22,22,10,20.625
AVG_AMT_PER_DRAWING_24_MONTHS,83,81,133,78,45,52,101,98,83.875
CC_LR_PREDS,606,575,620,582,617,606,631,628,608.125
MIN_PAYMENT,166,163,210,158,119,230,200,184,178.75
AVG_PAYMENT,145,186,137,107,197,95,153,155,146.875
MAX_PAYMENT,127,138,166,125,150,175,146,149,147.0
LOG_AVG_PAYMENT,150,205,151,106,114,170,143,180,152.375
MIN_INSTALLMENT,233,135,213,130,220,192,203,202,191.0
AVG_INSTALLMENT,154,173,191,79,184,140,183,175,159.875
MAX_INSTALLMENT,257,190,222,226,231,268,268,220,235.25
LOG_AVG_INSTALLMENT,159,162,136,149,143,214,134,170,158.375
BEST_PAYMENT_DATE,395,364,510,292,361,383,455,431,398.875
AVG_DAYS_OFF_PAYMENT,291,165,263,215,251,272,265,346,258.5
WORST_PAYMENT_DATE,427,460,481,365,366,425,466,428,427.25
MIN_INSTALL_FRAC_PAID,279,120,257,142,161,180,150,180,183.625
AVG_INSTALL_FRAC_PAID,118,128,113,89,91,115,117,131,112.75
MAX_INSTALL_FRAC_PAID,50,45,44,52,19,23,34,101,46.0
NUM_INSTALLMENT_ENTRIES,149,181,180,170,154,227,222,234,189.625
NUM_PAYMENTS_EXACT_AMT,239,190,230,173,204,232,218,288,221.75
NUM_PAYMENTS_OVER,46,57,31,44,66,38,38,29,43.625
NUM_PAYMENTS_UNDER,84,34,79,41,43,87,76,71,64.375
FRAC_PAYMENTS_EXACT_AMT,112,121,136,85,102,117,104,112,111.125
FRAC_PAYMENTS_OVER,29,11,27,29,6,25,32,45,25.5
FRAC_PAYMENTS_UNDER,63,80,83,67,96,82,141,53,83.125
NUM_PAYMENTS_EARLY,274,244,310,173,180,242,247,306,247.0
NUM_PAYMENTS_LATE,118,80,141,124,64,121,115,120,110.375
NUM_PAYMENTS_ON_TIME,140,88,127,140,112,107,113,159,123.25
FRAC_PAYMENTS_EARLY,144,102,109,95,97,125,132,145,118.625
FRAC_PAYMENTS_LATE,159,126,186,191,182,133,181,160,164.75
FRAC_PAYMENTS_ON_TIME,94,40,160,79,40,61,130,53,82.125
MIN_PAYMENT_30_DAYS,146,123,207,108,109,131,190,130,143.0
AVG_PAYMENT_30_DAYS,143,70,68,93,94,82,147,111,101.0
MAX_PAYMENT_30_DAYS,334,208,224,155,142,258,227,262,226.25
LOG_AVG_PAYMENT_30_DAYS,150,62,154,61,89,123,117,63,102.375
NUM_INSTAL_PAY_30_DAYS,10,12,28,34,31,17,23,23,22.25
NUM_PAYMENTS_30_DAYS_EXACT_AMT,11,2,1,10,3,6,1,16,6.25
NUM_PAYMENTS_30_DAYS_OVER,0,0,0,0,0,0,0,0,0.0
NUM_PAYMENTS_30_DAYS_UNDER,3,10,3,1,7,7,1,8,5.0
FRAC_PAYMENTS_30_DAYS_EXACT_AMT,15,0,10,6,1,9,25,9,9.375
FRAC_PAYMENTS_30_DAYS_OVER,0,0,0,2,0,0,7,0,1.125
FRAC_PAYMENTS_30_DAYS_UNDER,67,50,50,43,90,72,33,50,56.875
NUM_PAYMENTS_30_DAYS_EARLY,1,3,24,13,11,2,17,14,10.625
NUM_PAYMENTS_30_DAYS_LATE,14,8,2,24,17,1,14,18,12.25
NUM_PAYMENTS_30_DAYS_ON_TIME,11,1,47,20,20,17,34,8,19.75
FRAC_PAYMENTS_30_DAYS_EARLY,89,17,67,57,66,57,51,73,59.625
FRAC_PAYMENTS_30_DAYS_LATE,60,75,79,54,52,36,58,47,57.625
FRAC_PAYMENTS_30_DAYS_ON_TIME,43,35,65,16,45,66,44,43,44.625
MIN_PAYMENT_120_DAYS,185,140,292,116,156,184,192,176,180.125
AVG_PAYMENT_120_DAYS,112,119,95,70,106,126,80,93,100.125
MAX_PAYMENT_120_DAYS,271,186,217,154,161,219,198,241,205.875
LOG_AVG_PAYMENT_120_DAYS,196,145,223,175,176,193,203,213,190.5
NUM_INSTAL_PAY_120_DAYS,26,48,46,20,15,32,36,45,33.5
NUM_PAYMENTS_120_DAYS_EXACT_AMT,29,32,40,19,42,29,38,43,34.0
NUM_PAYMENTS_120_DAYS_OVER,1,4,0,0,0,0,0,3,1.0
NUM_PAYMENTS_120_DAYS_UNDER,52,15,42,10,7,37,1,26,23.75
FRAC_PAYMENTS_120_DAYS_EXACT_AMT,33,28,19,7,19,50,61,68,35.625
FRAC_PAYMENTS_120_DAYS_OVER,4,14,30,33,0,11,47,19,19.75
FRAC_PAYMENTS_120_DAYS_UNDER,29,46,39,29,11,77,32,45,38.5
NUM_PAYMENTS_120_DAYS_EARLY,109,58,70,68,51,65,84,86,73.875
NUM_PAYMENTS_120_DAYS_LATE,43,79,74,14,13,37,65,30,44.375
NUM_PAYMENTS_120_DAYS_ON_TIME,27,18,47,20,10,18,27,35,25.25
FRAC_PAYMENTS_120_DAYS_EARLY,41,55,72,51,84,34,47,30,51.75
FRAC_PAYMENTS_120_DAYS_LATE,186,127,220,144,152,187,237,178,178.875
FRAC_PAYMENTS_120_DAYS_ON_TIME,27,18,68,20,25,38,45,54,36.875
MIN_PAYMENT_365_DAYS,159,110,194,84,103,120,169,187,140.75
AVG_PAYMENT_365_DAYS,231,78,149,96,162,196,139,167,152.25
MAX_PAYMENT_365_DAYS,383,317,415,330,407,408,374,410,380.5
LOG_AVG_PAYMENT_365_DAYS,158,114,166,164,138,98,156,136,141.25
NUM_INSTAL_PAY_365_DAYS,109,97,73,76,77,94,138,171,104.375
NUM_PAYMENTS_365_DAYS_EXACT_AMT,136,113,122,83,76,138,88,133,111.125
NUM_PAYMENTS_365_DAYS_OVER,69,38,67,45,69,48,62,59,57.125
NUM_PAYMENTS_365_DAYS_UNDER,26,17,16,27,17,34,17,16,21.25
FRAC_PAYMENTS_365_DAYS_EXACT_AMT,47,55,64,50,35,42,84,113,61.25
FRAC_PAYMENTS_365_DAYS_OVER,39,88,89,85,75,65,46,52,67.375
FRAC_PAYMENTS_365_DAYS_UNDER,191,119,169,123,111,79,137,88,127.125
NUM_PAYMENTS_365_DAYS_EARLY,127,165,164,112,138,151,201,134,149.0
NUM_PAYMENTS_365_DAYS_LATE,18,14,15,17,24,23,18,26,19.375
NUM_PAYMENTS_365_DAYS_ON_TIME,76,47,88,68,43,70,45,69,63.25
FRAC_PAYMENTS_365_DAYS_EARLY,82,61,80,70,68,85,45,131,77.75
FRAC_PAYMENTS_365_DAYS_LATE,221,250,237,204,197,258,240,258,233.125
FRAC_PAYMENTS_365_DAYS_ON_TIME,78,44,105,66,45,71,35,43,60.875
MIN_PAYMENT_730_DAYS,208,154,380,190,131,179,158,245,205.625
AVG_PAYMENT_730_DAYS,197,129,173,76,160,179,171,131,152.0
MAX_PAYMENT_730_DAYS,248,200,248,117,131,229,228,291,211.5
LOG_AVG_PAYMENT_730_DAYS,216,126,358,143,171,193,205,211,202.875
NUM_INSTAL_PAY_730_DAYS,107,161,175,122,112,205,83,136,137.625
NUM_PAYMENTS_730_DAYS_EXACT_AMT,198,107,141,71,91,95,138,149,123.75
NUM_PAYMENTS_730_DAYS_OVER,11,15,9,11,6,3,2,2,7.375
NUM_PAYMENTS_730_DAYS_UNDER,108,78,119,73,74,94,131,84,95.125
FRAC_PAYMENTS_730_DAYS_EXACT_AMT,96,97,73,70,88,69,112,121,90.75
FRAC_PAYMENTS_730_DAYS_OVER,178,106,152,78,179,181,120,160,144.25
FRAC_PAYMENTS_730_DAYS_UNDER,118,113,144,101,121,142,136,151,128.25
NUM_PAYMENTS_730_DAYS_EARLY,224,204,305,149,232,244,201,213,221.5
NUM_PAYMENTS_730_DAYS_LATE,31,15,40,34,21,17,36,45,29.875
NUM_PAYMENTS_730_DAYS_ON_TIME,50,33,66,37,40,96,44,82,56.0
FRAC_PAYMENTS_730_DAYS_EARLY,114,131,113,108,76,99,92,111,105.5
FRAC_PAYMENTS_730_DAYS_LATE,322,298,348,265,263,300,332,303,303.875
FRAC_PAYMENTS_730_DAYS_ON_TIME,50,71,94,63,51,93,88,76,73.25
INST_PAY_LR_PREDS,707,577,751,596,658,747,698,673,675.875
NUM_LATE_POS_PAYMENTS,61,17,48,43,28,55,59,44,44.375
MAX_POS_DPD,101,75,66,73,58,97,70,68,76.0
AVG_POS_DPD,171,149,110,91,106,155,151,112,130.625
NUM_POS_ENTRIES,232,155,241,118,158,198,193,253,193.5
NUM_CONTRACTS_COMPLETED,58,57,78,79,92,93,85,114,82.0
NUM_INSTALMENTS_PENDING,457,431,464,431,453,510,485,487,464.75
NUM_ACCOUNTS_ACTIVE,59,49,58,42,63,12,38,49,46.25
NUM_LATE_POS_PAYMENTS_3_MONTHS_DEF,39,33,30,40,38,48,45,37,38.75
NUM_LATE_POS_PAYMENTS_3_MONTHS,22,6,12,4,16,16,9,8,11.625
NUM_CONTRACTS_COMPLETED_3_MONTHS,6,1,5,0,0,0,25,0,4.625
NUM_LATE_POS_PAYMENTS_6_MONTHS_DEF,10,17,8,2,0,16,16,4,9.125
NUM_LATE_POS_PAYMENTS_6_MONTHS,14,21,19,8,2,30,24,30,18.5
NUM_CONTRACTS_COMPLETED_6_MONTHS,6,4,17,4,8,7,6,19,8.875
NUM_LATE_POS_PAYMENTS_12_MONTHS_DEF,10,8,16,10,5,8,13,1,8.875
NUM_LATE_POS_PAYMENTS_12_MONTHS,24,24,42,33,29,56,64,32,38.0
NUM_CONTRACTS_COMPLETED_12_MONTHS,2,8,19,8,10,9,2,9,8.375
NUM_LATE_POS_PAYMENTS_24_MONTHS_DEF,24,25,20,5,14,2,5,16,13.875
NUM_LATE_POS_PAYMENTS_24_MONTHS,38,25,29,39,29,35,31,38,33.0
NUM_CONTRACTS_COMPLETED_24_MONTHS,12,22,33,19,32,51,35,13,27.125
POS_CASH_LR_PREDS,554,508,686,501,583,583,559,536,563.75
