Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
NAME_INCOME_TYPE_Pensioner,0,0,0,3,1,0,0,5,1.125
NAME_INCOME_TYPE_State servant,68,53,68,69,66,78,47,90,67.375
NAME_INCOME_TYPE_Student,0,0,0,0,0,0,0,0,0.0
NAME_INCOME_TYPE_Unemployed,0,0,0,0,0,0,0,0,0.0
NAME_INCOME_TYPE_Working,32,26,49,22,32,45,26,38,33.75
NAME_EDUCATION_TYPE_Academic degree,51,51,50,45,39,73,75,71,56.875
NAME_EDUCATION_TYPE_Higher education,113,130,128,115,119,111,106,105,115.875
NAME_EDUCATION_TYPE_Incomplete higher,4,6,2,0,3,4,4,3,3.25
NAME_EDUCATION_TYPE_Lower secondary,6,20,27,2,10,32,8,10,14.375
NAME_EDUCATION_TYPE_Secondary / secondary special,118,112,103,127,120,123,114,98,114.375
NAME_FAMILY_STATUS_Civil marriage,41,5,12,7,4,5,19,11,13.0
NAME_FAMILY_STATUS_Married,187,193,183,160,186,218,135,191,181.625
NAME_FAMILY_STATUS_Separated,72,76,71,99,56,77,54,83,73.5
NAME_FAMILY_STATUS_Single / not married,0,18,29,7,13,1,6,48,15.25
NAME_FAMILY_STATUS_Unknown,0,0,0,0,0,0,0,0,0.0
NAME_FAMILY_STATUS_Widow,0,14,31,4,14,2,4,14,10.375
NAME_HOUSING_TYPE_Co-op apartment,8,1,0,0,0,6,1,1,2.125
NAME_HOUSING_TYPE_House / apartment,16,30,11,21,49,17,12,18,21.75
NAME_HOUSING_TYPE_Municipal apartment,51,49,28,34,46,33,44,73,44.75
NAME_HOUSING_TYPE_Office apartment,16,41,40,27,43,25,32,40,33.0
NAME_HOUSING_TYPE_Rented apartment,15,3,2,0,0,6,9,4,4.875
NAME_HOUSING_TYPE_With parents,26,42,46,22,51,41,9,46,35.375
OCCUPATION_TYPE_Accountants,0,11,2,8,11,3,25,25,10.625
OCCUPATION_TYPE_Cleaning staff,17,30,34,29,35,20,15,11,23.875
OCCUPATION_TYPE_Cooking staff,0,0,0,5,7,0,0,0,1.5
OCCUPATION_TYPE_Core staff,50,50,29,26,55,46,55,77,48.5
OCCUPATION_TYPE_Drivers,43,51,41,42,33,37,51,44,42.75
OCCUPATION_TYPE_HR staff,0,2,9,5,0,0,0,0,2.0
OCCUPATION_TYPE_High skill tech staff,12,56,31,22,24,7,5,39,24.5
OCCUPATION_TYPE_IT staff,0,0,0,0,0,0,0,0,0.0
OCCUPATION_TYPE_Laborers,23,53,47,41,26,51,24,43,38.5
OCCUPATION_TYPE_Low-skill Laborers,4,3,2,2,0,7,0,7,3.125
OCCUPATION_TYPE_Managers,9,25,54,19,21,29,7,50,26.75
OCCUPATION_TYPE_Medicine staff,20,5,1,0,9,0,0,15,6.25
OCCUPATION_TYPE_Private service staff,0,0,0,1,6,2,0,8,2.125
OCCUPATION_TYPE_Realty agents,0,0,0,0,0,0,0,0,0.0
OCCUPATION_TYPE_Sales staff,34,67,13,32,38,25,22,27,32.25
OCCUPATION_TYPE_Secretaries,0,11,0,15,0,2,0,25,6.625
OCCUPATION_TYPE_Security staff,11,2,4,19,0,1,1,2,5.0
OCCUPATION_TYPE_Waiters/barmen staff,0,0,0,0,0,0,0,0,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,10,39,31,26,32,30,22,48,29.75
WEEKDAY_APPR_PROCESS_START_MONDAY,64,40,30,61,56,54,34,101,55.0
WEEKDAY_APPR_PROCESS_START_SATURDAY,29,9,0,7,0,3,2,0,6.25
WEEKDAY_APPR_PROCESS_START_SUNDAY,7,0,2,0,9,1,0,5,3.0
WEEKDAY_APPR_PROCESS_START_THURSDAY,0,20,22,7,8,0,1,0,7.25
WEEKDAY_APPR_PROCESS_START_TUESDAY,0,30,59,34,39,20,35,0,27.125
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,22,44,18,12,64,44,31,62,37.125
ORGANIZATION_TYPE_Advertising,0,0,0,3,0,0,0,5,1.0
ORGANIZATION_TYPE_Agriculture,1,2,7,8,10,13,1,7,6.125
ORGANIZATION_TYPE_Bank,47,50,54,24,50,38,19,50,41.5
ORGANIZATION_TYPE_Business Entity Type 1,18,0,10,2,0,0,0,3,4.125
ORGANIZATION_TYPE_Business Entity Type 2,36,27,7,37,18,17,23,37,25.25
ORGANIZATION_TYPE_Business Entity Type 3,23,42,19,59,43,16,8,24,29.25
